ano,sigla_uf,id_municipio,populacao
2017,RJ,3304409.0,17988.0
2017,RJ,3304508.0,8984.0
2017,RJ,3304524.0,141117.0
2017,RJ,3304557.0,6520266.0
2017,RJ,3304607.0,10172.0
2017,RJ,3304706.0,41312.0
2017,RJ,3304755.0,41191.0
2017,RJ,3304805.0,37689.0
2017,RJ,3304904.0,1049826.0
2017,RJ,3305000.0,35174.0
2017,RJ,3305109.0,460461.0
2017,RJ,3305133.0,6953.0
2017,RJ,3305158.0,21114.0
2017,RJ,3305208.0,99906.0
2017,RJ,3305307.0,9094.0
2017,RJ,3305406.0,17765.0
2017,RJ,3305505.0,85175.0
2017,RJ,3305554.0,84416.0
2017,RJ,3305604.0,21253.0
2017,RJ,3305703.0,15191.0
2017,RJ,3305752.0,32970.0
2017,RJ,3305802.0,176060.0
2017,RJ,3305901.0,10352.0
2017,RJ,3306008.0,79402.0
2017,RJ,3306107.0,74237.0
2017,RJ,3306156.0,10597.0
2017,RJ,3306206.0,35768.0
2017,RJ,3306305.0,265201.0
2017,RS,4300034.0,4759.0
2017,RS,4300059.0,3841.0
2017,RS,4300109.0,17085.0
2017,RS,4300208.0,7358.0
2017,RS,4300307.0,6736.0
2017,RS,4300406.0,78003.0
2017,RS,4300455.0,4037.0
2017,RS,4300471.0,2079.0
2017,RS,4300505.0,7433.0
2017,RS,4300554.0,1803.0
2017,RS,4300570.0,3040.0
2017,RS,4300604.0,208177.0
2017,RS,4300638.0,6854.0
2017,RS,4300646.0,7576.0
2017,RS,4300661.0,1306.0
2017,RS,4300703.0,6210.0
2017,RS,4300802.0,13306.0
2017,RS,4300851.0,3748.0
2017,RS,4300877.0,5395.0
2017,RS,4300901.0,6601.0
2017,RS,4301008.0,20272.0
2017,RS,4301057.0,9050.0
2017,RS,4301073.0,2906.0
2017,RS,4301107.0,14255.0
2017,RS,4301206.0,13388.0
2017,RS,4301305.0,18922.0
2017,RS,4301404.0,10614.0
2017,RS,4301503.0,7091.0
2017,RS,4301552.0,3718.0
2017,RS,4301602.0,122209.0
2017,RS,4301636.0,12671.0
2017,RS,4301651.0,6109.0
2017,RS,4301701.0,6763.0
2017,RS,4301750.0,7440.0
2017,RS,4301800.0,5474.0
2017,RS,4301859.0,3253.0
2017,RS,4301875.0,4223.0
2017,RS,4301909.0,13365.0
2017,RS,4301925.0,1915.0
2017,RS,4301958.0,2516.0
2017,RS,4302006.0,11486.0
2017,RS,4302055.0,2227.0
2017,RS,4302105.0,115069.0
2017,RS,4302154.0,2167.0
2017,RS,4302204.0,6829.0
2017,RS,4302220.0,2526.0
2017,RS,4302238.0,2579.0
2017,RS,4302253.0,2859.0
2017,RS,4302303.0,11773.0
2017,RS,4302352.0,13189.0
2017,RS,4302378.0,2216.0
2017,RS,4302402.0,12204.0
2017,RS,4302451.0,7914.0
2017,RS,4302501.0,6801.0
2017,RS,4302584.0,2228.0
2017,RS,4302600.0,3647.0
2017,RS,4302659.0,4996.0
2017,RS,4302709.0,21247.0
2017,RS,4302808.0,34634.0
2017,RS,4302907.0,13552.0
2017,RS,4303004.0,85495.0
2017,RS,4303103.0,127318.0
2017,RS,4303202.0,5100.0
2017,RS,4303301.0,5042.0
2017,RS,4303400.0,5064.0
2017,RS,4303509.0,66215.0
2017,RS,4303558.0,2733.0
2017,RS,4303608.0,6680.0
2017,RS,4303673.0,3407.0
2017,RS,4303707.0,5994.0
2017,RS,4303806.0,5641.0
2017,RS,4303905.0,64914.0
2017,RS,4304002.0,5161.0
2017,RS,4304101.0,3514.0
2017,RS,4304200.0,31603.0
2017,RS,4304309.0,6567.0
2017,RS,4304358.0,9406.0
2017,RS,4304408.0,43062.0
2017,RS,4304507.0,56103.0
2017,RS,4304606.0,343853.0
2017,RS,4304614.0,1817.0
2017,RS,4304622.0,1758.0
2017,RS,4304630.0,48401.0
2017,RS,4304655.0,3449.0
2017,RS,4304663.0,25495.0
2017,RS,4304671.0,4362.0
2017,RS,4304689.0,11455.0
