geocode,cidade,date,indexP,indexPlower,indexPupper
2612000,saire,2018-08-05,0.894898540588956,0.438892080391701,1.49953918932998
2612000,saire,2018-08-12,0.893299844978107,0.431314771930071,1.4958338383685
2612000,saire,2018-08-19,0.894419149227862,0.419394286584696,1.50333733520239
2612000,saire,2018-08-26,0.887007281219189,0.416684494992917,1.50341116095617
2612000,saire,2018-09-02,0.883785874654737,0.415666886765184,1.50530713778763
2612000,saire,2018-09-09,0.881750516751508,0.415702266919973,1.51442328173601
2612000,saire,2018-09-16,0.878393227992775,0.415150711371873,1.5229995569741
2612000,saire,2018-09-23,0.88048006360307,0.417151459776941,1.5378703591026
2612000,saire,2018-09-30,0.88975773460768,0.422111921989834,1.55512080494887
2612000,saire,2018-10-07,0.901040650939017,0.428440869394233,1.57970865864646
2612000,saire,2018-10-14,0.904769317485128,0.427431179851711,1.59606587528554
2612000,saire,2018-10-21,0.916075647576835,0.431582130472101,1.6170292279525
2612000,saire,2018-10-28,0.936534961193423,0.4437520574707,1.64888425488121
2612000,saire,2018-11-04,0.954050370722443,0.451529505361641,1.6795567914046
2612000,saire,2018-11-11,0.971397407877567,0.458820390256566,1.71043709866628
2612000,saire,2018-11-18,0.98696526375006,0.464806701776278,1.73884123923186
2612000,saire,2018-11-25,1.00041516557449,0.472853438247682,1.75966524408305
2612000,saire,2018-12-02,1.01724288951367,0.481671246970225,1.78731202634385
2612000,saire,2018-12-09,1.04032593387191,0.491351800290158,1.82968852292896
2612000,saire,2018-12-16,1.06145967759213,0.506174880626376,1.85848273774712
2612000,saire,2018-12-23,1.08598983763275,0.523875929045019,1.89223902037283
2612000,saire,2018-12-30,1.10262544682998,0.535130442226721,1.91297731089962
2612000,saire,2018-12-30,1.11405439138506,0.541293276971751,1.93197815317353
2612000,saire,2019-01-06,1.12858459335276,0.548296219515305,1.94655202326265
2612000,saire,2019-01-13,1.14348739055734,0.555820335615678,1.96534704637976
2612000,saire,2019-01-20,1.14998515657226,0.558393103561258,1.96588853221188
2612000,saire,2019-01-27,1.16504554978355,0.565066123594719,1.9751607664524
2612000,saire,2019-02-03,1.17536359994686,0.569366909568211,1.97885476209549
