"indexP","lag","RR","RR_low","RR_high","state"
2,8,0.96788770593273,0.912751522193536,1.02635447711375,"GO"
2,9,0.969067125052552,0.939070743147333,1.00002167005035,"GO"
2,10,0.97495051001844,0.934927150982758,1.01668723171218,"GO"
2,11,0.984036398667235,0.900846044367232,1.07490912565659,"GO"
2,12,0.994808977879034,0.862959643350755,1.1468032254974,"GO"
2.1,0,1.21338092950429,1.03976834025789,1.41598202511102,"GO"
2.1,1,1.16849455500154,1.06155661099204,1.28620509818339,"GO"
2.1,2,1.12627878922167,1.07558947757099,1.17935693636135,"GO"
2.1,3,1.08753811358066,1.04953716860141,1.12691497154567,"GO"
2.1,4,1.05296059669405,0.986900925579453,1.12344206946539,"GO"
2.1,5,1.02314807154588,0.936146469723546,1.11823524433864,"GO"
2.1,6,0.998649943275383,0.905608986210189,1.10124979366366,"GO"
2.1,7,0.979707164517313,0.896683327596135,1.07041817179728,"GO"
2.1,8,0.965445377627149,0.905533469920251,1.02932117712194,"GO"
2.1,9,0.954811998950132,0.922742291845832,0.987996281730484,"GO"
2.1,10,0.946841056377103,0.904814359248356,0.990819803949676,"GO"
2.1,11,0.940623149746837,0.854420791222415,1.03552244857457,"GO"
2.1,12,0.935284913221825,0.801047762873338,1.09201711738464,"GO"
2.2,0,1.18716141965918,1.00430086796485,1.40331675624574,"GO"
2.2,1,1.15598534608817,1.04200783740477,1.28243000906671,"GO"
2.2,2,1.12568170777883,1.07138609092776,1.18272891346813,"GO"
2.2,3,1.09627709613755,1.0552914178051,1.13885458674101,"GO"
2.2,4,1.06779344421612,0.995476139991487,1.14536430729587,"GO"
2.2,5,1.04024841553892,0.944690580355545,1.14547216679558,"GO"
2.2,6,1.01365578914946,0.911621592664805,1.12711026937468,"GO"
2.2,7,0.988010121400779,0.89749489514124,1.08765409728237,"GO"
2.2,8,0.963243110530849,0.898561168827369,1.0325811109732,"GO"
2.2,9,0.939276231743363,0.905215933148258,0.974618107361039,"GO"
2.2,10,0.916036822286659,0.872269407778304,0.962000331895522,"GO"
2.2,11,0.893457671225899,0.805208691217101,0.991378532024784,"GO"
2.2,12,0.8714766562523,0.736858425685441,1.03068857723411,"GO"
2.3,0,1.15530925019325,0.964490010869822,1.38388106516351,"GO"
2.3,1,1.13964460288263,1.01899005498428,1.27458537453493,"GO"
2.3,2,1.12316060247598,1.06519763304394,1.18427763996183,"GO"
2.3,3,1.10488417983055,1.06084416105142,1.15075248152368,"GO"
2.3,4,1.08391532309888,1.00507100716572,1.16894470069501,"GO"
