date,indexP,indexPlower,indexPupper,indexPsmooth7,indexPsmooth15,indexPsmooth30,indexPsmooth60,cidade
2018-04-29,0.976058024325912,0.494420956523749,1.70317215005168,0.969863669531648,0.960235886978894,0.93335095735491,0.88276213750839,2604155
2018-05-06,0.960939490126297,0.485879600882379,1.68254823783653,0.956165571929692,0.948773785013072,0.926149837552742,0.883582303635558,2604155
2018-05-13,0.940894495324853,0.474412777478218,1.65632830972918,0.940996787454923,0.936822270446819,0.918333680515971,0.884716557914906,2604155
2018-05-20,0.925114720638568,0.465592470174868,1.63414628634293,0.924878347193296,0.924240111980586,0.910140656986034,0.886253234755562,2604155
2018-05-27,0.903021999435788,0.452240799575688,1.58547035665363,0.908736871526224,0.911731820455506,0.901479406926338,0.88814637605929,2604155
2018-06-03,0.890805322254334,0.444959979634692,1.55509255284992,0.893621507526845,0.898537636256949,0.892114024715615,0.890207998181639,2604155
2018-06-10,0.877314378247322,0.436871529250706,1.52024963881564,0.880871347421946,0.884542607725399,0.882559100727605,0.892266080423868,2604155
2018-06-17,0.863067694656405,0.428247623502615,1.48270077439544,0.867471635819961,0.870507372157051,0.873276720493988,0.89443520928662,2604155
2018-06-24,0.855131942130645,0.423987304922629,1.46779660607038,0.854844231525037,0.857239470319879,0.864344385289035,0.896838990612475,2604155
2018-07-01,0.851643374590558,0.422103154619138,1.46111025984434,0.842014316870293,0.8447760444561,0.855385472470272,0.899263054273076,2604155
2018-07-08,0.831316739424677,0.409202080187016,1.41002376673875,0.829121032207028,0.83308230781737,0.847054107627007,0.901702950486951,2604155
2018-07-15,0.814630169371316,0.398733626247762,1.39553718289814,0.817199208192326,0.822067759686354,0.840020308392855,0.904234725453651,2604155
2018-07-22,0.800995919671128,0.389533119040031,1.37589894638616,0.806043144569138,0.812230606328006,0.833729717766277,0.90657983004856,2604155
2018-07-29,0.787061385604469,0.380256617670294,1.33537030466477,0.79494953422329,0.802533973621622,0.828076022371975,0.908606230589594,2604155
2018-08-05,0.779614926553485,0.379032538510573,1.31019580934123,0.785545492268894,0.793706794603486,0.823163074424604,0.910507485853232,2604155
2018-08-12,0.777039496768332,0.379124102685189,1.30077184858246,0.777726396454895,0.786317554009081,0.819196263783126,0.912050195828821,2604155
